ID,Letter,Headerword,Part of Speech,IPA Prnounciation,Phonetic Pronunciation,Definition in Mandinka,Translation and Sentences,English Translation,Mandinka Sentence,Sentence IPA Pronouncation,Sentence Phonetic Pronounciation,Sentence English Translation,Source,Country
1,A,alibalaa,n,/alibalaː/,ahl-ehhb-ahl-ah-ah,,"calamity, disaster, plague, epidemic. Alamaa n tanka la alibalaa la. May God saveus from calamity","calamity, disaster, plague,",Alamaa n tanka la alibalaa la,/alamaː n taŋka la alibalaː la/,ahl-ahm-ah-ah n t-ahnk-ah l-ah -ahl-ehhb-ahl-ah-ah l-ah,May God saveus from calamity,PC,Gambia
2,A,Alifa,n,/alifa/,ahl-ehhf-ah,,name of a man. Alifa too siyaata fuloolu kono. The name Alifatis common among Fulas.,name of a man,Alifa too siyaata fuloolu kono,/alifa toː sijaːta fuloːlu kono/,ahl-ehhf-ah t-oh-oh s-ehhy-ah-aht-ah f-o-ohl-oh-ohl-o-oh k-ohn-oh,The name Alifatis common among Fulas.,PC,Gambia
3,A,alifaa,n,/alifaː/,ahl-ehhf-ah-ah,,"respected person, leader, elder, guardian. Alifaa fianta buufiaa la le. An elder should be respected.","respected person, leader, elder, guardian",Alifaa fianta buufiaa la le,/alifaː fianta buːfiaː la le/,ahl-ehhf-ah-ah f-ehh-ahnt-ah b-o-oh-o-ohf-ehh-ah-ah l-ah l-eh,An elder should be respected.,PC,Gambia
4,A,alifaa-foloolu,n,/alifaː-foloːlu/,ahl-ehhf-ah-ah-f-ohl-oh-ohl-o-oh,,ancestors. Nna alifaafoloolu bota Mali le. Qua ancestors were from Mali.,ancestors,Nna alifaafoloolu bota Mali le,/nna alifaːfoloːlu bota mali le/,nn-ah -ahl-ehhf-ah-ahf-ohl-oh-ohl-o-oh b-oht-ah m-ahl-ehh l-eh,Qua ancestors were from Mali.,PC,Gambia
5,A,alifaari,v,/alifaːri/,ahl-ehhf-ah-ahr-ehh,,to curse. Keebaalu ye suno alifaari jaameno to. The elders cursed the thief at the mosque.,to curse,Keebaalu ye suno alifaari jaameno to,/keːbaːlu je suno alifaːri dʒaːmeno to/,k-eh-ehb-ah-ahl-o-oh y-eh s-o-ohn-oh -ahl-ehhf-ah-ahr-ehh j-ah-ahm-ehn-oh t-oh,The elders cursed the thief at the mosque.,PC,Gambia
6,A,alifaaroo,vn,/alifaːroː/,ahl-ehhf-ah-ahr-oh-oh,,cursing. Alifaaroo man beteyaa. Cursing is not good.,cursing,Alifaaroo man beteyaa,/alifaːroː man betejaː/,ahl-ehhf-ah-ahr-oh-oh m-ahn b-eht-ehy-ah-ah,Cursing is not good.,PC,Gambia
7,A,alifaatiyo,n,/alifaːtijo/,ahl-ehhf-ah-aht-ehhy-oh,,"Quran's Ist chapter. Ali alifaatiyo karan. You all, read the first chapter of the Quran.",Quran's Ist chapter,Ali alifaatiyo karan,/ali alifaːtijo karan/,ahl-ehh -ahl-ehhf-ah-aht-ehhy-oh k-ahr-ahn,"You all, read the first chapter of the Quran.",PC,Gambia
8,A,alifaayaa,n,/alifaːjaː/,ahl-ehhf-ah-ahy-ah-ah,,"leadership, guardianship, eldership. Alifaayaa man feeyaa. Leadership is not easy.","leadership, guardianship, eldership",Alifaayaa man feeyaa,/alifaːjaː man feːjaː/,ahl-ehhf-ah-ahy-ah-ah m-ahn f-eh-ehy-ah-ah,Leadership is not easy.,PC,Gambia
9,A,alihaaloo,n,/alihaːloː/,ahl-ehhh-ah-ahl-oh-oh,,"condition, state, position, circumstance. A be alihaala kolen ne to. He is in a difficult condition.","condition, state, position, circumstance",A be alihaala kolen ne to,/a be alihaːla kolen ne to/,ah b-eh -ahl-ehhh-ah-ahl-ah k-ohl-ehn n-eh t-oh,He is in a difficult condition.,PC,Gambia
10,L,lillaay,n,/lillaːj/,l-ehhll-ah-ahy,,"praise be to God, thanks to God, borrowed from the Holy Quran, mentioned when something is accomplished.","praise be to God, thanks to God, borrowed from the Holy Quran, mentioned when something is accomplished",#N/A,/#n/a/,#n/-ah,"praise be to God, thanks to God, borrowed from the Holy Quran, mentioned when something is accomplished.",PC,Gambia
11,A,alihawaa,n,/alihawaː/,ahl-ehhh-ahw-ah-ah,,"space, cosmos, weather, all space above earth is called “alihawaa"". Alihawaa man diyaa bii. Zhe weather is not favourable today.","space, cosmos, weather, all space above earth is called “alihawaa""",Alihawaa man diyaa bii,/alihawaː man dijaː biː/,ahl-ehhh-ahw-ah-ah m-ahn d-ehhy-ah-ah b-ehh-ehh,Zhe weather is not favourable today.,PC,Gambia
12,A,Alikaaloo,n,/alikaːloː/,ahl-ehhk-ah-ahl-oh-oh,,"chief of a village, mayor, title for a village, town or city head. Alikaaloo taamata le. Zhe Alikaaloo has travelled.","chief of a village, mayor, title for a village, town or city head",Alikaaloo taamata le,/alikaːloː taːmata le/,ahl-ehhk-ah-ahl-oh-oh t-ah-ahm-aht-ah l-eh,Zhe Alikaaloo has travelled.,PC,Gambia
